Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Longitude,Latitude
736,75,rm,60.0,10800,pave,no_alley_access,reg,lvl,allpub,inside,gtl,oldtown,norm,norm,1fam,2.5unf,7,7,1914,1970,gable,compshg,wd sdng,wd sdng,unknown,0.0,ta,ta,brktil,gd,ta,mn,rec,390.0,unf,0.0,490.0,880.0,gasw,fa,n,sbrkr,880,888,0,1768,0.0,0.0,1,1,2,1,ta,6,typ,2,ta,detchd,1914.0,unf,2.0,320.0,ta,ta,n,0,341,0,0,0,0,unknown,,unknown,0,10,2006,wd,normal,163000.0,-93.613889,42.029136
737,90,rl,60.0,8544,pave,no_alley_access,reg,lvl,allpub,inside,gtl,names,norm,norm,duplex,1story,3,4,1950,1950,gable,compshg,stucco,stone,unknown,0.0,ta,ta,cblock,,unknown,no_basement,no_basement,0.0,no_basement,0.0,0.0,0.0,gasa,gd,n,fusef,1040,0,0,1040,0.0,0.0,2,0,2,2,ta,6,typ,0,,detchd,1949.0,unf,2.0,400.0,ta,ta,y,0,0,0,0,0,0,unknown,,unknown,0,7,2006,wd,normal,93500.0,-93.609053,42.034662
738,60,rl,72.0,10463,pave,no_alley_access,ir1,hls,allpub,culdsac,gtl,gilbert,norm,norm,1fam,2story,8,5,2005,2005,gable,compshg,vinylsd,vinylsd,unknown,0.0,gd,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,893.0,893.0,gasa,ex,y,sbrkr,901,900,0,1801,0.0,0.0,2,1,3,1,gd,8,typ,1,gd,attchd,2005.0,fin,3.0,800.0,ta,ta,y,0,116,0,0,0,0,unknown,,unknown,0,6,2006,wd,normal,239900.0,-93.635837,42.062798
739,90,rl,60.0,10800,pave,no_alley_access,reg,lvl,allpub,inside,gtl,edwards,norm,norm,duplex,1story,5,5,1987,1988,gable,compshg,plywood,plywood,unknown,0.0,ta,ta,cblock,gd,gd,gd,glq,1200.0,unf,0.0,0.0,1200.0,gasa,ta,y,sbrkr,1200,0,0,1200,3.0,0.0,3,0,3,1,ta,5,typ,0,,no_garage,,no_garage,0.0,0.0,,,y,120,0,0,0,0,0,unknown,,unknown,0,3,2009,wd,alloca,179000.0,-93.658207,42.028101
740,60,rl,65.0,9313,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,2story,7,5,2004,2004,gable,compshg,vinylsd,vinylsd,unknown,0.0,gd,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,864.0,864.0,gasa,ex,y,sbrkr,864,864,0,1728,0.0,0.0,2,1,3,1,gd,7,typ,0,,attchd,2004.0,rfn,2.0,572.0,ta,ta,y,187,56,0,0,0,0,unknown,,unknown,0,4,2009,wd,normal,190000.0,-93.685333,42.013957
741,70,rm,60.0,9600,pave,grvl,reg,lvl,allpub,inside,gtl,oldtown,norm,norm,1fam,2story,5,7,1910,2002,gable,compshg,wd sdng,wd shng,unknown,0.0,ta,gd,brktil,fa,fa,no,unf,0.0,unf,0.0,264.0,264.0,gasa,ex,y,sbrkr,768,664,0,1432,0.0,0.0,2,0,2,1,ta,7,typ,0,,detchd,1910.0,unf,2.0,360.0,ta,gd,y,270,0,112,0,0,0,unknown,gdprv,unknown,0,5,2007,wd,abnorml,132000.0,-93.616988,42.032254
742,20,rl,65.0,6768,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,sawyer,feedr,norm,1fam,1story,6,8,1961,1996,hip,compshg,hdboard,hdboard,unknown,0.0,ta,gd,cblock,ta,ta,mn,glq,832.0,unf,0.0,80.0,912.0,gasa,gd,y,sbrkr,912,0,0,912,1.0,1.0,1,0,3,1,gd,5,typ,0,,detchd,1962.0,unf,1.0,288.0,ta,ta,y,168,0,0,0,0,0,unknown,gdprv,unknown,0,5,2008,wd,normal,142000.0,-93.670551,42.03459
743,20,rl,65.0,8450,pave,no_alley_access,reg,lvl,allpub,inside,gtl,sawyerw,norm,norm,1fam,1story,7,5,2000,2001,gable,compshg,vinylsd,vinylsd,brkface,108.0,ta,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,1349.0,1349.0,gasa,ex,y,sbrkr,1349,0,0,1349,0.0,0.0,2,0,3,1,ta,6,typ,0,,attchd,2000.0,unf,2.0,539.0,ta,ta,y,120,55,0,0,0,0,unknown,gdprv,unknown,0,12,2007,wd,normal,179000.0,-93.688804,42.036038
744,80,rl,70.0,12886,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,sawyer,norm,norm,1fam,slvl,5,6,1963,1999,gable,compshg,hdboard,hdboard,unknown,0.0,ta,ta,cblock,gd,ta,av,alq,444.0,unf,0.0,76.0,520.0,gasa,ex,y,sbrkr,1464,0,0,1464,0.0,1.0,2,0,3,1,ta,6,min2,1,ta,attchd,1997.0,rfn,2.0,480.0,ta,ta,y,302,0,0,0,100,0,unknown,,unknown,0,10,2009,wd,normal,175000.0,-93.669839,42.033376
745,120,rl,41.0,5395,pave,no_alley_access,ir1,hls,allpub,inside,gtl,stonebr,norm,norm,twnhse,1story,8,5,1993,1993,gable,compshg,hdboard,hdboard,unknown,0.0,gd,ta,pconc,gd,ta,no,glq,733.0,unf,0.0,604.0,1337.0,gasa,gd,y,sbrkr,1337,0,0,1337,1.0,0.0,2,0,2,1,gd,5,typ,1,ta,attchd,1993.0,rfn,2.0,462.0,ta,ta,y,96,0,70,168,0,0,unknown,,unknown,0,10,2008,wd,normal,180000.0,-93.633905,42.060865
746,60,rl,,8963,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,nwames,norm,norm,1fam,2story,8,9,1976,1996,hip,compshg,vinylsd,vinylsd,brkface,289.0,ex,gd,cblock,ta,gd,no,glq,575.0,alq,80.0,487.0,1142.0,gasa,ex,y,sbrkr,1175,1540,0,2715,0.0,1.0,3,1,4,1,gd,11,typ,2,ta,builtin,1994.0,fin,2.0,831.0,ta,ta,y,0,204,0,0,0,0,unknown,,unknown,0,7,2008,wd,normal,299800.0,-93.630152,42.044058
747,60,rl,,8795,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,gilbert,norm,norm,1fam,2story,7,5,2000,2000,gable,compshg,vinylsd,vinylsd,unknown,0.0,gd,ta,pconc,gd,ta,no,glq,300.0,unf,0.0,652.0,952.0,gasa,ex,y,sbrkr,980,1276,0,2256,0.0,0.0,2,1,4,1,gd,8,typ,1,ta,builtin,2000.0,fin,2.0,554.0,ta,ta,y,224,54,0,0,0,0,unknown,,unknown,0,4,2009,wd,normal,236000.0,-93.642813,42.05859
748,70,rm,65.0,11700,pave,pave,ir1,lvl,allpub,corner,gtl,oldtown,norm,norm,1fam,2story,7,7,1880,2003,mansard,compshg,stucco,stucco,unknown,0.0,gd,ta,stone,ta,fa,no,unf,0.0,unf,0.0,1240.0,1240.0,gasw,ta,n,sbrkr,1320,1320,0,2640,0.0,0.0,1,1,4,1,gd,8,typ,1,gd,detchd,1950.0,unf,4.0,864.0,ta,ta,n,181,0,386,0,0,0,unknown,,unknown,0,5,2009,wd,normal,265979.0,-93.612245,42.029305
749,20,rl,59.0,10593,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,noridge,norm,norm,1fam,1story,7,5,1996,1996,hip,compshg,vinylsd,vinylsd,brkface,338.0,gd,ta,pconc,gd,ta,no,glq,919.0,unf,0.0,801.0,1720.0,gasa,ex,y,sbrkr,1720,0,0,1720,1.0,0.0,2,0,3,1,gd,7,typ,1,ta,attchd,1996.0,fin,2.0,527.0,ta,ta,y,240,56,154,0,0,0,unknown,,unknown,0,3,2010,wd,normal,260400.0,-93.654206,42.051721
750,50,rl,50.0,8405,pave,no_alley_access,reg,lvl,allpub,inside,gtl,edwards,norm,norm,1fam,1.5fin,4,3,1945,1950,gable,compshg,wdshing,wd shng,unknown,0.0,ta,ta,slab,,unknown,no_basement,no_basement,0.0,no_basement,0.0,0.0,0.0,wall,ta,n,fusef,1088,441,0,1529,0.0,0.0,2,0,4,1,ta,9,mod,0,,detchd,1945.0,unf,1.0,240.0,ta,ta,n,92,0,185,0,0,0,unknown,,unknown,0,4,2009,wd,normal,98000.0,-93.6644556,42.0217997
751,50,rm,55.0,8800,pave,grvl,reg,lvl,allpub,corner,gtl,oldtown,norm,norm,1fam,1.5fin,4,7,1910,2004,gable,compshg,wd sdng,wd sdng,unknown,0.0,ta,ta,brktil,ta,fa,no,unf,0.0,unf,0.0,576.0,576.0,gasa,gd,y,sbrkr,792,348,0,1140,0.0,0.0,1,0,3,1,ta,7,min2,0,,no_garage,,no_garage,0.0,0.0,,,n,0,160,0,0,0,0,unknown,,unknown,0,6,2010,wd,normal,96500.0,-93.617135,42.032134
752,60,rl,,7750,pave,no_alley_access,reg,lvl,allpub,inside,gtl,gilbert,rran,norm,1fam,2story,7,5,2003,2003,gable,compshg,vinylsd,vinylsd,unknown,0.0,gd,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,660.0,660.0,gasa,ex,y,sbrkr,660,660,0,1320,0.0,0.0,2,1,3,1,gd,6,typ,0,,attchd,2003.0,fin,2.0,400.0,ta,ta,y,0,48,0,0,0,0,unknown,,unknown,0,8,2007,wd,normal,162000.0,-93.643641,42.059526
753,20,rl,79.0,9236,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,1story,6,5,1997,1997,gable,compshg,vinylsd,vinylsd,unknown,0.0,ta,gd,pconc,gd,ta,gd,glq,1200.0,unf,0.0,279.0,1479.0,gasa,ex,y,sbrkr,1494,0,0,1494,1.0,0.0,2,0,3,1,gd,6,typ,0,,attchd,1997.0,rfn,2.0,576.0,ta,ta,y,168,27,0,0,0,0,unknown,,unknown,0,7,2006,wd,normal,217000.0,-93.692221,42.018123
754,60,rl,80.0,10240,pave,no_alley_access,reg,lvl,allpub,inside,gtl,nridght,norm,norm,1fam,2story,8,5,2005,2005,gable,compshg,vinylsd,vinylsd,brkface,178.0,gd,ta,pconc,gd,ta,mn,unf,0.0,unf,0.0,1030.0,1030.0,gasa,gd,y,sbrkr,1038,1060,0,2098,0.0,0.0,2,1,3,1,ex,8,typ,1,gd,attchd,2005.0,rfn,3.0,878.0,ta,ta,y,192,52,0,0,0,0,unknown,,unknown,0,3,2006,wd,normal,275500.0,-93.653016,42.060835
755,20,rl,61.0,7930,pave,no_alley_access,reg,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,6,8,1969,2005,gable,compshg,plywood,plywood,unknown,0.0,ta,ta,cblock,ta,ta,no,glq,439.0,lwq,472.0,115.0,1026.0,gasa,gd,y,sbrkr,1026,0,0,1026,1.0,0.0,1,0,3,1,gd,5,typ,0,,detchd,1969.0,rfn,2.0,440.0,ta,ta,y,171,48,0,0,0,0,unknown,,unknown,0,7,2009,wd,normal,156000.0,-93.628707,42.055228
756,160,fv,34.0,3230,pave,pave,reg,lvl,allpub,inside,gtl,somerst,norm,norm,twnhse,2story,6,5,1999,1999,gable,compshg,metalsd,metalsd,brkface,894.0,ta,ta,pconc,gd,ta,no,glq,381.0,unf,0.0,348.0,729.0,gasa,gd,y,sbrkr,742,729,0,1471,0.0,0.0,2,1,3,1,ta,6,typ,0,,detchd,1999.0,unf,2.0,440.0,ta,ta,y,0,24,0,0,0,0,unknown,,unknown,0,3,2009,wd,normal,172500.0,-93.644205,42.047101
757,60,rl,68.0,10769,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,2story,8,5,2007,2007,gable,compshg,vinylsd,vinylsd,unknown,0.0,gd,ta,pconc,gd,ta,av,glq,20.0,unf,0.0,846.0,866.0,gasa,ex,y,sbrkr,866,902,0,1768,0.0,0.0,2,1,3,1,gd,7,typ,0,,attchd,2007.0,rfn,2.0,578.0,ta,ta,y,144,105,0,0,0,0,unknown,,unknown,0,4,2009,wd,normal,212000.0,-93.690971,42.025293
758,60,rl,,11616,pave,no_alley_access,ir1,lvl,allpub,culdsac,gtl,sawyer,norm,norm,1fam,2story,6,5,1978,1978,hip,compshg,hdboard,hdboard,brkcmn,328.0,ta,ta,cblock,ta,ta,mn,rec,438.0,unf,0.0,234.0,672.0,gasa,ta,y,sbrkr,672,714,0,1386,0.0,0.0,2,1,3,1,ta,6,typ,1,ta,attchd,1978.0,fin,2.0,440.0,ta,ta,y,335,0,0,0,0,0,unknown,gdprv,unknown,0,4,2010,wd,abnorml,158900.0,-93.672523,42.03128
759,160,fv,24.0,2280,pave,pave,reg,lvl,allpub,inside,gtl,somerst,norm,norm,twnhs,2story,7,5,1999,1999,gable,compshg,metalsd,metalsd,brkface,360.0,ta,ta,pconc,gd,ta,no,alq,549.0,unf,0.0,195.0,744.0,gasa,gd,y,sbrkr,757,744,0,1501,0.0,0.0,2,1,3,1,ta,6,typ,0,,detchd,1999.0,unf,2.0,440.0,ta,ta,y,0,0,0,0,0,0,unknown,,unknown,0,8,2008,wd,normal,179400.0,-93.644172,42.047102
760,60,rl,65.0,12257,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,noridge,norm,norm,1fam,2story,8,5,1995,1995,gable,compshg,vinylsd,vinylsd,brkface,513.0,gd,ta,pconc,gd,ta,av,lwq,56.0,alq,64.0,1198.0,1318.0,gasa,ex,y,sbrkr,1328,1203,0,2531,0.0,0.0,2,1,4,1,gd,9,typ,1,ta,attchd,1995.0,rfn,3.0,752.0,ta,ta,y,222,98,0,0,0,0,unknown,,unknown,0,11,2007,wd,normal,290000.0,-93.653712,42.05048
761,20,rl,70.0,9100,pave,no_alley_access,reg,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,6,6,1959,1959,hip,compshg,wd sdng,wd sdng,unknown,0.0,ta,ta,cblock,ta,ta,no,rec,612.0,unf,0.0,252.0,864.0,gasa,ex,y,sbrkr,864,0,0,864,0.0,0.0,1,0,2,1,ta,5,typ,0,,detchd,2008.0,unf,1.0,300.0,ex,ex,y,0,0,0,0,0,0,unknown,,shed,450,10,2009,wd,normal,127500.0,-93.623485,42.044843
762,30,rm,60.0,6911,pave,no_alley_access,reg,lvl,allpub,fr2,gtl,brkside,feedr,norm,1fam,1story,5,5,1924,1950,gable,compshg,wd sdng,wd sdng,unknown,0.0,ta,ta,pconc,ta,ta,mn,lwq,405.0,unf,0.0,740.0,1145.0,gasa,ta,y,sbrkr,1301,0,0,1301,0.0,0.0,1,0,2,1,fa,5,min1,0,,detchd,1965.0,unf,2.0,440.0,ta,ta,y,0,0,0,0,0,0,unknown,,unknown,0,10,2009,wd,normal,100000.0,-93.624689,42.031395
763,60,fv,72.0,8640,pave,no_alley_access,reg,lvl,allpub,inside,gtl,somerst,norm,norm,1fam,2story,7,5,2009,2009,gable,compshg,vinylsd,vinylsd,unknown,0.0,ta,ta,pconc,gd,ta,mn,glq,24.0,unf,0.0,732.0,756.0,gasa,ex,y,sbrkr,764,783,0,1547,0.0,0.0,2,1,3,1,gd,7,typ,0,,attchd,2009.0,unf,2.0,614.0,ta,ta,y,169,45,0,0,0,0,unknown,,unknown,0,6,2010,con,normal,215200.0,-93.650318,42.051653
764,60,rl,82.0,9430,pave,no_alley_access,reg,lvl,allpub,inside,gtl,noridge,norm,norm,1fam,2story,8,5,1999,1999,gable,compshg,vinylsd,vinylsd,brkface,673.0,gd,ta,pconc,gd,ta,mn,glq,1163.0,unf,0.0,89.0,1252.0,gasa,ex,y,sbrkr,1268,1097,0,2365,1.0,0.0,2,1,3,1,gd,8,typ,1,gd,attchd,1999.0,rfn,3.0,856.0,ta,ta,y,0,128,0,0,180,0,unknown,,unknown,0,7,2009,wd,normal,337000.0,-93.65429,42.053749
765,120,rl,30.0,9549,pave,no_alley_access,ir1,lvl,allpub,culdsac,gtl,veenker,norm,norm,twnhse,1story,8,5,1995,1996,hip,compshg,brkface,brkface,unknown,0.0,gd,gd,pconc,gd,gd,av,lwq,437.0,glq,1057.0,0.0,1494.0,gasa,ex,y,sbrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,ex,6,typ,1,gd,attchd,1995.0,fin,2.0,481.0,ta,ta,y,0,30,0,0,216,0,unknown,,unknown,0,4,2006,wd,normal,270000.0,-93.648931,42.044609
766,20,rl,75.0,14587,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,somerst,norm,norm,1fam,1story,9,5,2008,2008,gable,compshg,vinylsd,vinylsd,stone,284.0,gd,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,1498.0,1498.0,gasa,ex,y,sbrkr,1506,0,0,1506,0.0,0.0,2,0,2,1,ex,6,typ,1,gd,attchd,2008.0,fin,2.0,592.0,ta,ta,y,0,174,0,0,0,0,unknown,,unknown,0,8,2008,new,partial,264132.0,-93.642092,42.054366
767,60,rl,80.0,10421,pave,no_alley_access,reg,lvl,allpub,inside,gtl,nwames,norm,norm,1fam,2story,7,5,1988,1988,gable,compshg,hdboard,hdboard,brkface,42.0,ta,ta,cblock,gd,ta,no,glq,394.0,unf,0.0,586.0,980.0,gasa,ta,y,sbrkr,980,734,0,1714,0.0,0.0,2,1,3,1,ta,7,typ,1,ta,attchd,1988.0,unf,2.0,496.0,ta,ta,y,228,66,156,0,0,0,unknown,mnprv,shed,500,3,2010,wd,normal,196500.0,-93.637788,42.043329
768,50,rl,75.0,12508,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,mitchel,norm,norm,1fam,1.5fin,6,7,1940,1985,gable,compshg,vinylsd,vinylsd,unknown,0.0,ta,ta,cblock,gd,ta,mn,alq,660.0,unf,0.0,323.0,983.0,gasa,ex,y,sbrkr,983,767,0,1750,1.0,0.0,2,0,4,1,ta,7,mod,0,,attchd,1989.0,unf,1.0,423.0,ta,ta,y,245,0,156,0,0,0,unknown,,shed,1300,7,2008,wd,normal,160000.0,-93.608291,41.98658
769,20,rl,70.0,9100,pave,no_alley_access,reg,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,1story,7,5,2004,2005,hip,compshg,vinylsd,vinylsd,unknown,0.0,gd,ta,pconc,gd,ta,no,glq,24.0,unf,0.0,1836.0,1860.0,gasa,ex,y,sbrkr,1836,0,0,1836,0.0,0.0,2,0,3,1,gd,8,typ,1,gd,attchd,2004.0,fin,2.0,484.0,ta,ta,y,120,33,0,0,0,0,unknown,,unknown,0,10,2006,wd,normal,216837.0,-93.681895,42.017186
770,60,rl,47.0,53504,pave,no_alley_access,ir2,hls,allpub,culdsac,mod,stonebr,norm,norm,1fam,2story,8,5,2003,2003,hip,compshg,cemntbd,wd shng,brkface,603.0,ex,ta,pconc,gd,ta,gd,alq,1416.0,unf,0.0,234.0,1650.0,gasa,ex,y,sbrkr,1690,1589,0,3279,1.0,0.0,3,1,4,1,ex,12,mod,1,gd,builtin,2003.0,fin,3.0,841.0,ta,ta,y,503,36,0,0,210,0,unknown,,unknown,0,6,2010,wd,normal,538000.0,-93.62655,42.061239
771,85,rl,,7252,pave,no_alley_access,ir1,lvl,allpub,culdsac,gtl,sawyer,norm,norm,1fam,sfoyer,5,5,1982,1982,hip,compshg,wd sdng,wd sdng,unknown,0.0,ta,ta,cblock,gd,ta,av,glq,685.0,unf,0.0,173.0,858.0,gasa,ta,y,sbrkr,858,0,0,858,1.0,0.0,1,0,2,1,ta,5,typ,0,,detchd,1983.0,unf,2.0,576.0,ta,ta,y,120,0,0,0,0,0,unknown,,unknown,0,4,2009,wd,normal,134900.0,-93.671849,42.030628
772,20,rl,67.0,8877,pave,no_alley_access,reg,lvl,allpub,inside,gtl,edwards,norm,norm,1fam,1story,4,5,1951,1951,gable,compshg,wd sdng,wd sdng,unknown,0.0,ta,ta,cblock,fa,fa,no,lwq,836.0,unf,0.0,0.0,836.0,gasa,ta,y,fusef,1220,0,0,1220,0.0,0.0,1,0,2,1,ta,6,typ,0,,detchd,1951.0,unf,2.0,396.0,ta,ta,y,0,0,0,0,0,0,unknown,,unknown,0,4,2006,cod,normal,102000.0,-93.676361,42.020342
773,80,rl,94.0,7819,pave,no_alley_access,reg,lvl,allpub,inside,gtl,edwards,norm,norm,1fam,slvl,6,5,1976,1976,gable,compshg,plywood,plywood,unknown,0.0,ta,ta,cblock,ta,ta,av,alq,422.0,blq,127.0,480.0,1029.0,gasa,ta,y,sbrkr,1117,0,0,1117,1.0,0.0,1,0,3,1,ta,6,typ,1,ta,detchd,1976.0,unf,2.0,672.0,ta,ta,y,144,0,0,0,0,0,unknown,mnprv,unknown,0,3,2010,wd,abnorml,107000.0,-93.675175,42.019849
774,20,rl,70.0,10150,pave,no_alley_access,reg,lvl,allpub,inside,gtl,names,feedr,norm,1fam,1story,5,5,1958,1958,gable,compshg,wd sdng,wd sdng,unknown,1.0,ta,ta,cblock,ta,ta,no,rec,456.0,unf,0.0,456.0,912.0,gasa,ex,y,fusea,912,0,0,912,0.0,0.0,1,0,2,1,ta,5,typ,0,,attchd,1958.0,rfn,1.0,275.0,ta,ta,y,0,0,0,0,0,0,unknown,,unknown,0,7,2007,cod,normal,114500.0,-93.616099,42.045809
775,20,rl,110.0,14226,pave,no_alley_access,reg,lvl,allpub,corner,gtl,nridght,norm,norm,1fam,1story,8,5,2006,2006,hip,compshg,vinylsd,vinylsd,brkface,375.0,gd,ta,pconc,gd,ta,av,unf,0.0,unf,0.0,1935.0,1935.0,gasa,gd,y,sbrkr,1973,0,0,1973,0.0,0.0,2,0,3,1,gd,9,typ,1,gd,attchd,2006.0,fin,3.0,895.0,ta,ta,y,315,45,0,0,0,0,unknown,,unknown,0,7,2007,new,partial,395000.0,-93.6562861,42.0624082
776,120,rm,32.0,4500,pave,no_alley_access,reg,lvl,allpub,fr2,gtl,mitchel,norm,norm,twnhse,1story,6,5,1998,1998,hip,compshg,vinylsd,vinylsd,brkface,320.0,ta,ta,pconc,ex,ta,no,glq,866.0,unf,0.0,338.0,1204.0,gasa,ex,y,sbrkr,1204,0,0,1204,1.0,0.0,2,0,2,1,ta,5,typ,0,,attchd,1998.0,fin,2.0,412.0,ta,ta,y,0,247,0,0,0,0,unknown,,unknown,0,6,2009,wd,normal,162000.0,-93.608196,41.993128
777,20,rl,86.0,11210,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,1story,7,5,2005,2006,gable,compshg,vinylsd,vinylsd,brkface,240.0,gd,ta,pconc,gd,ta,av,glq,20.0,unf,0.0,1594.0,1614.0,gasa,ex,y,sbrkr,1614,0,0,1614,0.0,0.0,2,0,3,1,gd,7,typ,0,,attchd,2005.0,rfn,3.0,865.0,ta,ta,y,144,59,0,0,0,0,unknown,,unknown,0,7,2006,new,partial,221500.0,-93.688937,42.025687
778,20,rl,100.0,13350,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,sawyer,norm,norm,1fam,1story,5,5,1974,1974,hip,compshg,hdboard,plywood,unknown,0.0,ta,ta,cblock,ta,ta,no,alq,762.0,unf,0.0,102.0,864.0,gasa,ta,y,sbrkr,894,0,0,894,1.0,0.0,1,0,3,1,ta,5,typ,1,fa,attchd,1974.0,unf,2.0,440.0,ta,ta,y,241,0,0,0,0,0,unknown,mnprv,unknown,0,6,2006,wd,normal,142500.0,-93.676352,42.028836
779,90,rh,60.0,8400,pave,no_alley_access,reg,lvl,allpub,inside,gtl,sawyerw,feedr,norm,duplex,1story,5,5,1977,1977,gable,compshg,plywood,plywood,brkface,320.0,ta,ta,slab,,unknown,no_basement,no_basement,0.0,no_basement,0.0,0.0,0.0,gasa,ta,y,sbrkr,2020,0,0,2020,0.0,0.0,2,0,4,2,ta,10,typ,2,ta,detchd,1977.0,unf,2.0,630.0,ta,ta,y,0,0,0,0,0,0,unknown,,unknown,0,10,2007,wd,normal,144000.0,-93.6791142,42.0362103
780,90,rl,78.0,10530,pave,no_alley_access,reg,lvl,allpub,inside,gtl,mitchel,norm,norm,duplex,sfoyer,6,5,1977,1977,gable,compshg,plywood,imstucc,brkface,90.0,ta,ta,cblock,gd,ta,gd,glq,975.0,unf,0.0,0.0,975.0,gasa,ta,y,sbrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,ta,4,typ,0,,attchd,1977.0,unf,2.0,504.0,ta,ta,y,0,0,0,0,0,0,unknown,,unknown,0,5,2006,wd,normal,135000.0,-93.603173,41.996907
781,20,rl,63.0,7875,pave,no_alley_access,reg,lvl,allpub,inside,gtl,gilbert,norm,norm,1fam,1story,7,5,1995,1996,gable,compshg,hdboard,hdboard,brkface,38.0,ta,ta,pconc,gd,gd,no,unf,0.0,unf,0.0,1237.0,1237.0,gasa,gd,y,sbrkr,1253,0,0,1253,0.0,0.0,2,0,3,1,ta,6,typ,1,ta,attchd,1995.0,fin,2.0,402.0,ta,ta,y,220,21,0,0,0,0,unknown,,unknown,0,6,2007,wd,normal,176000.0,-93.637883,42.059517
782,60,rl,65.0,7153,pave,no_alley_access,reg,lvl,allpub,inside,gtl,sawyerw,norm,norm,1fam,2story,6,5,1992,1992,gable,compshg,vinylsd,vinylsd,unknown,0.0,gd,gd,pconc,gd,ta,no,alq,387.0,unf,0.0,374.0,761.0,gasa,ex,y,sbrkr,810,793,0,1603,0.0,0.0,2,1,3,1,gd,7,typ,0,,attchd,1992.0,rfn,2.0,484.0,ta,ta,y,0,124,0,0,0,0,unknown,,unknown,0,7,2006,wd,normal,175900.0,-93.68782,42.034595
783,20,rl,67.0,16285,pave,no_alley_access,ir2,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,1story,7,5,2001,2002,gable,compshg,vinylsd,vinylsd,unknown,0.0,gd,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,1413.0,1413.0,gasa,ex,y,sbrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,gd,6,typ,0,,attchd,2001.0,rfn,2.0,605.0,ta,ta,y,0,33,0,0,0,0,unknown,,unknown,0,6,2009,wd,normal,187100.0,-93.689942,42.016551
784,85,rl,,9101,pave,no_alley_access,ir1,lvl,allpub,corner,gtl,mitchel,norm,norm,1fam,sfoyer,5,6,1978,1978,gable,compshg,plywood,plywood,brkface,104.0,ta,gd,pconc,gd,ta,av,glq,1097.0,unf,0.0,0.0,1097.0,gasa,ex,y,sbrkr,1110,0,0,1110,1.0,0.0,1,0,1,1,gd,4,typ,1,ta,attchd,1978.0,fin,2.0,602.0,ta,ta,y,303,30,0,0,0,0,unknown,,unknown,0,7,2009,wd,normal,165500.0,-93.604928,41.988776
785,75,rm,35.0,6300,pave,grvl,reg,lvl,allpub,inside,gtl,oldtown,norm,norm,1fam,2.5unf,6,6,1914,2001,gable,compshg,wd sdng,wd shng,unknown,0.0,ta,ta,cblock,ta,ta,no,unf,0.0,unf,0.0,742.0,742.0,gasa,ex,y,sbrkr,742,742,0,1484,0.0,0.0,2,0,3,1,ta,9,typ,1,gd,no_garage,,no_garage,0.0,0.0,,,y,0,291,134,0,0,0,unknown,,unknown,0,6,2008,wd,normal,128000.0,-93.613845,42.02813
